task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
12	0a/4faa92	23853169	FASTP (SRR13973706)	CACHED	0	2026-02-14 20:43:12.412	25.8s	11.4s	341.2%	2.2 GB	2.6 GB	2.8 GB	2.8 GB
11	e4/3d6c26	23853176	FASTP (SRR13973815)	CACHED	0	2026-02-14 20:43:26.442	46.7s	15.2s	335.3%	2.4 GB	2.9 GB	2.8 GB	2.7 GB
24	50/a58574	23853195	BWA_MEM (SRR13973815)	CACHED	0	2026-02-14 20:44:20.319	4m 53s	2m 14s	1119.1%	6.4 GB	6.7 GB	10.8 GB	5.7 GB
25	6b/917304	23853183	BWA_MEM (SRR13973706)	CACHED	0	2026-02-14 20:43:40.307	3m 3s	2m 16s	1126.8%	6.4 GB	6.8 GB	10.9 GB	6 GB
30	63/82cccf	23853212	FASTP (SRR13973817)	CACHED	0	2026-02-14 20:45:39.325	38.9s	20.4s	338.5%	2.5 GB	2.9 GB	5.3 GB	5.2 GB
32	5b/8035a7	23853243	SAMTOOLS_SORT (SRR13973706)	CACHED	0	2026-02-14 20:46:44.436	28.7s	12s	563.8%	3 GB	31.4 GB	3 GB	840.5 MB
13	f3/10ed90	23853182	FASTP (SRR13973816)	CACHED	0	2026-02-14 20:43:40.206	28s	11.9s	343.9%	2.3 GB	2.8 GB	2.8 GB	2.7 GB
38	a7/7f8dbf	23853396	BWA_MEM (SRR13973817)	CACHED	0	2026-02-14 20:51:50.225	4m 47s	4m 16s	1155.4%	6.5 GB	6.8 GB	16 GB	10.5 GB
31	57/257056	23853164	FASTP (SRR13973811)	CACHED	0	2026-02-14 20:42:44.907	18.3s	10.1s	341.3%	2.2 GB	2.7 GB	2.3 GB	2.3 GB
71	05/5fac50	23853401	MARKDUPS (SRR13973706)	CACHED	0	2026-02-14 20:51:51.098	6m 56s	4m 8s	110.3%	31.5 GB	65.9 GB	2.5 GB	1.7 GB
76	d5/effaac	23853193	BWA_MEM (SRR13973816)	CACHED	0	2026-02-14 20:44:20.112	3m 48s	2m 38s	1134.6%	6.6 GB	6.8 GB	10.7 GB	5.8 GB
77	5c/6f51d7	23853172	BWA_MEM (SRR13973811)	CACHED	0	2026-02-14 20:43:12.704	2m 25s	1m 40s	1108.8%	6.3 GB	6.7 GB	9.9 GB	4.9 GB
70	74/465b4f	23853161	FASTP (SRR13974115)	CACHED	0	2026-02-14 20:42:17.205	46s	8.3s	309.4%	2.1 GB	2.5 GB	1.8 GB	1.8 GB
80	40/1d6193	23853555	GATK (SRR13973706)	CACHED	0	2026-02-14 20:58:54.931	13m 12s	12m 56s	110.3%	846.9 MB	11.2 GB	8.5 GB	1.1 GB
72	71/a98cac	23853289	SAMTOOLS_SORT (SRR13973815)	CACHED	0	2026-02-14 20:49:14.913	28.3s	7.7s	534.0%	2.7 GB	31.3 GB	2.7 GB	555.5 MB
79	d1/029a47	23853188	FASTP (SRR13973813)	CACHED	0	2026-02-14 20:44:06.804	36.4s	16.4s	357.6%	2.2 GB	2.7 GB	3.2 GB	3.2 GB
86	7f/723053	23853170	BWA_MEM (SRR13974115)	CACHED	0	2026-02-14 20:43:12.505	1m 41s	1m 29s	1104.8%	6.3 GB	6.7 GB	8.9 GB	4 GB
82	51/574442	23853214	SAMTOOLS_SORT (SRR13973811)	CACHED	0	2026-02-14 20:45:39.505	23.7s	7.2s	540.7%	2.4 GB	31.5 GB	2.4 GB	500.2 MB
81	12/a80a2c	23853506	SAMTOOLS_SORT (SRR13973817)	CACHED	0	2026-02-14 20:56:41.345	45.8s	17.2s	566.5%	4.8 GB	31.7 GB	4.8 GB	1.1 GB
92	3a/45ecc9	23853399	MARKDUPS (SRR13973815)	CACHED	0	2026-02-14 20:51:50.965	2m 51s	2m 28s	120.1%	30.8 GB	66.1 GB	1.6 GB	1.1 GB
93	eb/8c2d8a	23853223	MARKDUPS (SRR13973811)	CACHED	0	2026-02-14 20:46:05.700	3m 18s	2m 19s	117.2%	31.1 GB	66.2 GB	1.5 GB	1022.8 MB
90	7c/e77512	23853270	SAMTOOLS_SORT (SRR13973816)	CACHED	0	2026-02-14 20:48:12.508	55.7s	7.6s	490.0%	2.9 GB	31.2 GB	2.9 GB	598.3 MB
91	09/b8a5d6	23853203	SAMTOOLS_SORT (SRR13974115)	CACHED	0	2026-02-14 20:44:59.913	38.3s	8.2s	501.4%	2 GB	31.5 GB	2 GB	515.6 MB
105	d5/f12e09	23853196	BWA_MEM (SRR13973813)	CACHED	0	2026-02-14 20:44:46.612	4m 57s	2m 42s	1121.8%	6.4 GB	6.8 GB	11.8 GB	6.4 GB
106	ce/4b6650	23853404	GATK (SRR13973811)	CACHED	0	2026-02-14 20:51:52.963	5m 39s	5m 19s	114.9%	1 GB	11.2 GB	7 GB	742.2 MB
